uprava,opstina,naselje,ustanova,naziv,ulica,broj,postanski_broj,tip_lokacije
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Gradska bolnica,Prote Atanasija Bukovičkog,bb,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Vrtić Leptirić,Selo Darosava,bb,34305,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Vrtić Zvončić,Svetogorska,7,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,OŠ Ilija Garašanin,Josifa Pančića,7,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Vrtić Duga,Vojvode Putnika,9,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Specijalna bolnica Bukovička banja,Mišarska,bb,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Banja,PU Duga,Zvezdica,Banja,bb,34304,Izdvojena lokacija
Kragujevac,Aranđelovac,Brezovac,PU Duga,Brezovac,Brezovac,bb,34303,Izdvojena lokacija
Kragujevac,Aranđelovac,Bukovik,PU Duga,Vrtić Radost,Bukovik,bb,34303,Izdvojena lokacija
Kragujevac,Aranđelovac,Venčane,PU Duga,Maslačak,Venčane,bb,34306,Izdvojena lokacija
Kragujevac,Aranđelovac,Jelovik,PU Duga,Jelovik,Jelovik,bb,34309,Izdvojena lokacija
Kragujevac,Aranđelovac,Kopljare,PU Duga,Vrtić Bambi,Kopljare,bb,34308,Izdvojena lokacija
Kragujevac,Aranđelovac,Misača,PU Duga,OŠ Svetolik Ranković,Misača,bb,34302,Izdvojena lokacija
Kragujevac,Aranđelovac,Orašac,PU Duga,Vrtić Čarolija,Orašac,bb,34308,Izdvojena lokacija
Kragujevac,Aranđelovac,Ranilović,PU Duga,Petar Pan,Ranilovići,bb,34302,Izdvojena lokacija
Kragujevac,Aranđelovac,Stojnik,PU Duga,Vrtić Mali Princ,Stojnik,bb,34307,Izdvojena lokacija
Kragujevac,Aranđelovac,Tulež,PU Duga,Pčelica,Tulež,bb,34306,Izdvojena lokacija
Užice,Arilje,Arilje,PU Dečji Vrtić Arilje,Predškolska ustanova Arilje,Miloša Glišića,34,31230,Matična lokacija
Užice,Arilje,Arilje,PU Dečji Vrtić Arilje,Radna jedinica u ul.Braće Mihajlovića br.8,Braće Mihajlovića,8,31230,Izdvojena lokacija
Užice,Arilje,Pogled,PU Dečji Vrtić Arilje,Radna jedinica u naselju Pogled,/,/,31230,Izdvojena lokacija
Niš,Babušnica,Babušnica,PU Dečja radost,Predškolska ustanova Dečja radost Babušnica,Sedme brigade,18,18330,Matična lokacija
Niš,Babušnica,Zvonce,PU Dečja radost,IO Zvonce,Zvonce,bb,18333,Izdvojena lokacija
Užice,Bajina Bašta,Bajina Bašta,PU Neven,Predškolska ustanova Neven,Vuka Karadžića,34,31250,Matična lokacija
Užice,Bajina Bašta,Bačevci,PU Neven,IO PU,/,/,31258,Izdvojena lokacija
Užice,Bajina Bašta,Pilica,PU Neven,IL PU,/,/,31250,Izdvojena lokacija
Užice,Bajina Bašta,Rogačica,PU Neven,IO,/,/,31255,Izdvojena lokacija
Kragujevac,Batočina,Batočina,PU Poletarac,PU POLETARAC,Kralja Petra Prvog,73,34227,Matična lokacija
Niš,Bela Palanka,Bela Palanka,PU Dragica Lalović,Objekat Izvorčić,Lole Ribara,bb,18310,Matična lokacija
Niš,Bela Palanka,Bela Palanka,PU Dragica Lalović,Objekat Dečja radost,Obilićeva,bb,18310,Izdvojena lokacija
Niš,Bela Palanka,Dolac (naselje),PU Dragica Lalović,Izdvojena vaspitna grupa u Naselju Dolac,Naselje Dolac,bb,18314,Izdvojena lokacija
Niš,Bela Palanka,Crvena Reka,PU Dragica Lalović,Izdvojena vaspitna grupa u Crvenoj Reci,Crvena Reka,bb,18313,Izdvojena lokacija
Beograd,Beograd - Barajevo,Barajevo,PU Poletarac,Predškolska ustanova Poletarac-objekat Poletarac,Svetosavska,83,11460,Matična lokacija
Beograd,Beograd - Barajevo,Arnajevo,PU Poletarac,Pripremna predškolska grupa Arnajevo,Kosmajskog odreda,1,11461,Izdvojena lokacija
Beograd,Beograd - Barajevo,Barajevo,PU Poletarac,Objekat Sveti Sava,Barajevska,7 a,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Barajevo,PU Poletarac,Depadans Slončići,Svetosavska,83,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Barajevo,PU Poletarac,Pripremna predškolska grupa Ravni gaj,Dušana Duje Damnjanovića,76,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Barajevo,PU Poletarac,Depadans Zvončići,Svetosavska,56,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Barajevo,PU Poletarac,Pripremna predškolska grupa Glumčevo brdo,Glumčevo brdo,456,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Baćevac,PU Poletarac,Pripremna predškolska grupa Baćevac,Kosmajskih partizana,55,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Boždarevac,PU Poletarac,Pripremna predškolska grupa Boždarevac,Dragomira Milovanovića,61,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Veliki Borak,PU Poletarac,Pripremna predškolska grupa Veliki Borak,Karađorđeva,1,11462,Izdvojena lokacija
Beograd,Beograd - Barajevo,Vranić,PU Poletarac,Objekat Jagodica,Trg palih boraca i žrtava fašističkog terora,1,11427,Izdvojena lokacija
Beograd,Beograd - Barajevo,Guncati,PU Poletarac,Pripremna predškolska grupa Guncati,Palih boraca,42,11460,Izdvojena lokacija
Beograd,Beograd - Barajevo,Meljak,PU Poletarac,Objekat Vrapčići,Maršala Tita,30 b,11426,Izdvojena lokacija
Beograd,Beograd - Barajevo,Rožanci,PU Poletarac,Pripremna predškolska grupa Rožanci,Kosmajskih partizana,24,11461,Izdvojena lokacija
Beograd,Beograd - Barajevo,Šiljakovac,PU Poletarac,Pripremna predškoska grupa Šiljakovac,Dobrivoja Maksimovića,61,11462,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Predškolska ustanova ČIKA JOVA ZMAJ 1 i 2,Save Šumanovića,1,11010,Matična lokacija
Beograd,Beograd - Voždovac,Beli Potok,PU Čika Jova Zmaj,Radosno detinjstvo,Put za koloniju,57,11232,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Pinokio,Bogdana Popovića bb,bb,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Leptirić,Vojvode Stepe,405m,11041,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Sestre Bukumirović,Ignjata Joba,69,11050,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Šećerko,Vladimira Tomanovića,25,11050,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Štrumpfeta,Nikole Đurkovića,44,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Petar Pan,Jove Ilića,144a,11040,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Ljiljan,Leskovačka,4,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Plavi čuperak,Dragice Končar,8a,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,1001 radost,Strumička,88a,11050,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Ciciban,Strumička,63,11107,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Diznilend,Admirala Vukovića,5,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Mala Sirena,Kaplara Momčila Gavrića,14,11041,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Čika Andra 1 i 2,Zaplanjska,16,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Đulići,Pašmanska,16,11107,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Mila Jevtović,Danijelova,24,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Ljolja,Crnotravska,11v,11040,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Neven,Majska,9,11221,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Vasa Čarapić,Vasa Čarapić,56,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Breze,Milorada Umjenovića,9,11050,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Žikica Jovanović,Vojvode Stepe,195,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Naša deca,Pirotska,17,11107,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Nenad Parenta,Generala Anrija,31,11040,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Zrnce,Braće Jerković,163,11010,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Biseri,Ljermontova,9,11107,Izdvojena lokacija
Beograd,Beograd - Voždovac,Beograd (Voždovac),PU Čika Jova Zmaj,Dečija Radost,Braće Kovač,74,11107,Izdvojena lokacija
Beograd,Beograd - Voždovac,Pinosava,PU Čika Jova Zmaj,Vivak,Bulevar JNA,18,11222,Izdvojena lokacija
Beograd,Beograd - Voždovac,Ripanj,PU Čika Jova Zmaj,Kolibri,Erčanska,1,11232,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,Predškolska ustanova Vračar,Bjelanovićeva,2,11118,Matična lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,jasle MAZA,Petrogradska,3,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,komb.obj. LUNjA,Metohijska,42,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić LEPA VITAS,Hadži Melentijeva,35,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,jasle PALČIĆ,Vukice Mitrović,10,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić GULIVER,Mlade Bosne,5,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić BUBAMARA,Timočka,24,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,Centralna kuhinja,Bjelanovićeva,2,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,komb.obj. BISER,Svetozara Markovića,14-16,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić KASPER,Desanke Maksimović,17,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,jasle ZVONČIĆ,Sime Igumanova,16,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,komb.obj. MIĆA I AĆIM,Vojvode Dragomira,11,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić FIĆA,Marulićeva,8,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,jasle ČAROLIJE,Kumanovska,11,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić NADA PURIĆ,Krunska,68,11118,Izdvojena lokacija
Beograd,Beograd - Vračar,Beograd (Vračar),PU Vračar,vrtić SVETI SAVA,Avalska,8,11118,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Predškolska ustanova Zvezdara,Subotička,2,11050,Matična lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Sunčica,Vojvode Bogdana,1,11120,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Duga,Subotička,2,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Maštarije,Preševska,61a,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona Jedinica Mali Maslačak,Petrarkina,43567,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Kolibri,Deset avijatičara,2a,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zvezdica,Pupinova,4,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Dečiji lug,Pavla Vasića,2a,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Plavi čuperak,Vjekoslava Kovača,3a,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Sunce,16. oktobra,8,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Naša bajka,Pop-Stojanova,7,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Maslačak,Petrarkina,3,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Lavić,Sopoćanska,3,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Draguljče,Đurićeva,3,11120,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Oblačak,Veselina Čajkanovića,45,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Veseljko,Dr. Velizara Kosanovića,7,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona Jedinica 1300 Kaplara,Pančina,1,11060,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Slavuj,Čede Mijatovića,6,11120,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zvončica,Ljubiše Miodragovića,3,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Čigra,Ustanička,194a,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Žubor,Dr. Velizara Kosanovića,43,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Cvrčak,Zahumska,23b,11120,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zvezdani gaj,Veljka Dugoševića,48,11060,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Lane,Ariljska,bb,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Bubamara,Meše Selimovića,11,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zvezdara,Čingrijina,1a,11160,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zmajčić,Petra Škundrića,bb,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zora,Pante Srećkovića,10,11060,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Košuta,Blagajska,4,11050,Izdvojena lokacija
Beograd,Beograd - Zvezdara,Beograd (Zvezdara),PU Zvezdara Vrtić Duga,Organizaciona jedinica Zeka,Vizantijska,bb,11126,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Predškolska Ustanova Dr Sima Milošević sa OJ Čarolija i centralnom kuhinjom,Kapetana Radiča Petrovića,26,11080,Matična lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Iskrica,Železnička,4,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Bubice,Oficirska kolonija,10,11273,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Pepeljuga,Cara Dušana,123,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Zlatni bor,Zlatiborska,46,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Izdvojeo odeljenje pri OŠ Sutjeska,Zadrugarska,1,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Bubamara vrtić,Braće Krnješevac,6,11185,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Vrapče,Beogradska,43529,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Zvrk,Slovenska,4,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Mrvica,Šilerova,87,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Petar Pan,Pukovnika Milenka Pavlovića,136 b,11273,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Kamičak,Slaviše Vajnera,bb,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Izdvojeno odeljenje pri OŠ Mihailo Pupin,Emilije Jakšić,31,11186,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Veverica,Sestara Strain,50,11186,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Mala Sirena,Kej oslobođenja,bb,11070,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Vila Zvončica,22. oktobra,49,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Braća Abafi,Svetozara Miletića,18,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Maca,Naselje 13.maj,bb,11185,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Izdvojeno odeljenje pri OŠ Boško Palkovljević Pinki,Pukovnika Milenka Pavlovića,7a,11273,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Mali Princ,Karlovačka,27,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Bolnička grupa pri KBC - Zemun,Vukova,9,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Čvorak,Dalmatinske zagore,92,11273,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Cvrčak,Vrtlarska,23,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Flora,Đorđa Pantelića,bb,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Palčić,Novogradska,73,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ OAZA,Batajnički drum,23,11186,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Zemunski biser sa centralnom kuhinjom,Dragana Rakića,39,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Izdvojeno odeljenje pri OŠ Gavrilo Princip,Krajiška,34,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Bubamara jasle,Dušana Mađarčića Korčagina,5,11185,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Alisa,Starca Vujadina,7,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Prvi korak ( jasle ),Džordža Vašingtona,5,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Kolibri,Cara Dušana,87,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,Izdvojeno odeljenje pri OŠ Branko Radičević,Braće Mihajlović Tripić,2,11273,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Pačija škola,Mihaila Vukše,2a,11186,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Milica,Dobanovački put,58,11283,Izdvojena lokacija
Beograd,Beograd - Zemun,Beograd (Zemun),PU Sima Milošević,OJ Pčelica Maja,Novogradska,17,11080,Izdvojena lokacija
Beograd,Beograd - Zemun,Ugrinovci,PU Sima Milošević,OJ Roda i deo Doma kulture,Beogradska,2,11277,Izdvojena lokacija
Beograd,Beograd - Lazarevac,Lazarevac,PU Rakela Kotarov-Vuka,Detinjstvo,Dare Ranđić,1,11550,Matična lokacija
Beograd,Beograd - Lazarevac,Barzilovica,PU Rakela Kotarov-Vuka,Palčica,Stanije Tomić,bb,11568,Izdvojena lokacija
Beograd,Beograd - Lazarevac,Veliki Crljeni,PU Rakela Kotarov-Vuka,Suncokret,naselje TEK-a,bb,11550,Izdvojena lokacija
Beograd,Beograd - Lazarevac,Vreoci,PU Rakela Kotarov-Vuka,Vreoci,Vreoci,bb,11550,Izdvojena lokacija
